,Low,High,Open,Close,Volume_BTC,,,,,,
1.70407E+12,42535.34,42548,42522.27,42546.46,16.55363,1.70407E+12,704081.981,984,13.13737,558783.2406,0
1.70407E+12,42546.07,42554.09,42542.48,42546.43,7.47455,1.70407E+12,318021.6965,537,2.55732,108810.7033,0
1.70407E+12,42546.43,42568.41,42546.07,42552.05,22.21438,1.70407E+12,945381.3589,1070,11.69405,497667.4735,0
1.70407E+12,42552.38,42554,42539.42,42546,4.24645,1.70407E+12,180670.3289,375,1.41012,59997.66417,0
1.70407E+12,42543.81,42545.38,42530,42531.38,5.70867,1.70407E+12,242830.7145,354,1.45212,61771.41225,0
1.70407E+12,42531.59,42537.98,42519.44,42524.82,7.02347,1.70407E+12,298689.4146,446,3.41842,145381.8922,0
1.70407E+12,42524.56,42542.59,42523.82,42531.53,10.17309,1.70407E+12,432711.7384,446,7.50854,319376.8203,0
1.70407E+12,42530.86,42560,42514.41,42553.02,23.81968,1.70407E+12,1013127.339,1255,11.43577,486446.931,0
1.70407E+12,42555.3,42561.48,42549.36,42561.48,5.79781,1.70407E+12,246730.0464,375,3.24369,138041.157,0
1.70407E+12,42559.77,42564,42545.14,42548.47,8.44998,1.70407E+12,359598.2465,467,2.95565,125785.8089,0
1.70407E+12,42548.47,42553.39,42535.86,42539.85,7.29514,1.70407E+12,310363.0235,539,3.00029,127650.0976,0
1.70407E+12,42539.87,42557.66,42539.87,42552.6,16.82354,1.70407E+12,715813.3906,708,12.17207,517903.1971,0
1.70407E+12,42552.01,42573.17,42546.35,42570.58,12.30361,1.70407E+12,523663.3145,652,8.96038,381375.7259,0
1.70407E+12,42569.4,42605.56,42568.08,42597.42,18.56216,1.70407E+12,790562.3656,1430,11.13666,474304.3553,0
1.70407E+12,42596.66,42619.65,42596.66,42614,11.62531,1.70407E+12,495353.6473,1014,7.56089,322170.3755,0
1.70407E+12,42612.46,42637.49,42604.14,42608.3,22.39173,1.70407E+12,954388.4267,1646,12.36894,527235.5932,0
1.70407E+12,42609.67,42672,42608.46,42661.32,58.55773,1.70407E+12,2497288.989,3510,37.17539,1585390.216,0
