,Open,High,Low,Close,Volume_BTC,,,,,,
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29088.79,29088.79,29088.79,29088.79,0,1.69E+12,0,0,0,0,0
1.69E+12,29130,29130,29130,29130,0.00341,1.69E+12,99.3333,1,0.00341,99.3333,0
1.69E+12,29130,29130,29130,29130,0,1.69E+12,0,0,0,0,0
1.69E+12,29130,29130,29130,29130,0,1.69E+12,0,0,0,0,0
1.69E+12,29130,29130,29130,29130,0,1.69E+12,0,0,0,0,0
1.69E+12,29130,29130,29130,29130,0,1.69E+12,0,0,0,0,0
1.69E+12,29184.97,29184.97,29110.02,29110.02,0.0023,1.69E+12,66.9807775,3,0.00037,10.7984389,0
1.69E+12,29110.02,29110.02,29110.02,29110.02,0,1.69E+12,0,0,0,0,0
1.69E+12,29110.02,29110.02,29110.02,29110.02,0,1.69E+12,0,0,0,0,0
1.69E+12,29162.1,29199.95,29162.1,29199.95,0.02963,1.69E+12,865.170673,4,0.02963,865.170673,0
1.69E+12,29199.95,29199.95,29199.95,29199.95,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0.00739,1.69E+12,215.2378145,1,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0.1,1.69E+12,2912.555,1,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29125.55,29125.55,29125.55,29125.55,0,1.69E+12,0,0,0,0,0
1.69E+12,29127.54,29127.54,29127.54,29127.54,0.00498,1.69E+12,145.0551492,1,0.00498,145.0551492,0
1.69E+12,29127.54,29127.54,29127.54,29127.54,0,1.69E+12,0,0,0,0,0
1.69E+12,29127.54,29127.54,29127.54,29127.54,0,1.69E+12,0,0,0,0,0
1.69E+12,29127.54,29127.54,29127.54,29127.54,0,1.69E+12,0,0,0,0,0
1.69E+12,29127.54,29127.54,29127.54,29127.54,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0.18391,1.69E+12,5359.050962,4,0.18391,5359.050962,0
