,Open,High,Low,Close,Volume_BTC,,,,,,
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0.00049,1.67855E+12,9.9687952,1,0.00049,9.9687952,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20344.48,20344.48,20344.48,20344.48,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20199.99,20200,20199.99,20200,0.02529,1.67855E+12,510.8579563,2,0.02529,510.8579563,0
1.67855E+12,20132.97,20136.31,20100.03,20100.03,0.24973,1.67855E+12,5025.952857,9,0.18457,3716.111277,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0.00989,1.67855E+12,199.0223051,1,0.00989,199.0223051,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20123.59,20123.59,20123.59,20123.59,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0.00063,1.67855E+12,12.7910916,1,0.00063,12.7910916,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
